Mess,Month,Meal,Waste_KG,Plates,Waste_Percent,Estimated_Dish
MEENAKSHI,Mar-24,LUNCH,541,11050,5,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
MEENAKSHI,Mar-24,SNACKS,0,11915,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
MEENAKSHI,Mar-24,DINNER,638,11915,5,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SANNASI,Apr-23,BF,1427,48200,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SANNASI,Apr-23,LUNCH,10643,121200,9,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SANNASI,Apr-23,SNACKS,0,130150,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SANNASI,Apr-23,DINNER,10890,130150,8,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SANNASI,May-23,BF,1280,50086,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SANNASI,May-23,LUNCH,10980,107468,10,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SANNASI,May-23,SNACKS,0,115715,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SANNASI,May-23,DINNER,11785,115715,10,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SANNASI,Jun-23,BF,542,23055,2,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SANNASI,Jun-23,LUNCH,4729,30900,15,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SANNASI,Jun-23,SNACKS,0,29387,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SANNASI,Jun-23,DINNER,5537,29387,19,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SANNASI,Jul-23,BF,1483,12800,12,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SANNASI,Jul-23,LUNCH,2564,13840,19,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SANNASI,Jul-23,SNACKS,0,13830,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SANNASI,Jul-23,DINNER,2478,13930,18,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SANNASI,Aug-23,BF,1147,78261,1,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SANNASI,Aug-23,LUNCH,4944,148950,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SANNASI,Aug-23,SNACKS,0,155693,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
SANNASI,Aug-23,DINNER,5520,161800,3,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
SANNASI,Sep-23,BF,954,70200,1,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
SANNASI,Sep-23,LUNCH,4156,137020,3,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
SANNASI,Sep-23,SNACKS,0,147900,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
